processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
DACIN1455-20	UHIM.ms06080	12229607	UHIM.ms06080	FF15Np003	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult		S						27.5942	83.7124			132.5				Nepal				Ramnagar, Nawalparasi									
DACIN2490-20	UHIM.ms08986	12230642	UHIM.ms08986	FF15Np002	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	78904	Bactrocera dorsalis			Luc Leblanc		Hendel, 1912					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult	M	S						27.5909	83.7209			128.2				Nepal				Ramnagar, Nawalparasi									
DACIN2522-20	UHIM.ms09020	12230674	UHIM.ms09020	FF15Np002	University of Hawaii Insect Museum		BOLD:AAA2295	20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	78904	Bactrocera dorsalis			Luc Leblanc		Hendel, 1912					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult	M	S						27.5909	83.7209			128.2				Nepal				Ramnagar, Nawalparasi									
DACIN3447-20	UHIM.ms10194	12231599	UHIM.ms10194	FF15Np002	University of Hawaii Insect Museum		BOLD:AAA2295	20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	453393	Bactrocera raiensis			Michael San jose		Drew & Hancock, 1994					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult		S						27.5909	83.7209			128.2				Nepal				Ramnagar, Nawalparasi									
DACIN3452-20	UHIM.ms10201	12231604	UHIM.ms10201	FF15Np002	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	453393	Bactrocera raiensis			Michael San jose		Drew & Hancock, 1994					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult		S						27.5909	83.7209			128.2				Nepal				Ramnagar, Nawalparasi									
DACIN3473-20	UHIM.ms10237	12231625	UHIM.ms10237	FF15Np004	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	453393	Bactrocera raiensis			Michael San jose		Drew & Hancock, 1994					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult		S						27.5996	83.7273			138.9				Nepal				Ramnagar, Nawalparasi									
FON005-15	DPR_FW 1211060	6232999		1211060	National Herbarium and Plant Laboratories, Nepal			12	Magnoliophyta	41	Magnoliopsida	121244	Ericales															Vouchered:Registered Collection	leaf		H. Ikeda, S. Noshiro, K. Yonekura, K. Akai, O. Yano, N. Yamamoto, C. A. Pendry, A. Elliott, Mitra Lal Pathak, Ganga Datt Bhatt																							Nepal													
GBCMI3565-19	MG229567	10152528	HBG2630		Mined from GenBank, NCBI		BOLD:ACG7869	20	Arthropoda	69	Malacostraca	330	Isopoda	1644	Cirolanidae			27535	Bathynomus	27536	Bathynomus giganteus					A. Milne Edwards, 1879																				26.94	85.024							Nepal													
GBCMI3611-19	MG229613	10152574	HBG2679		Mined from GenBank, NCBI		BOLD:ACG7869	20	Arthropoda	69	Malacostraca	330	Isopoda	1644	Cirolanidae			27535	Bathynomus	27536	Bathynomus giganteus					A. Milne Edwards, 1879																				28.927	83.507							Nepal													
GBGL30963-19	KM287709	9769875	AthCam1		Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3775	Limenitidinae	83562	Athyma	189233	Athyma cama																																	Nepal													
